/citations?hl=en&user=lqg2Op8AAAAJ,Richard Nisbett
/citations?hl=en&user=1mZ4KE0AAAAJ,Brahmajee K Nallamothu
/citations?hl=en&user=8b-433kAAAAJ,Albert Vernon Smith
/citations?hl=en&user=pbLSoBgAAAAJ,Haolu Feng
/citations?hl=en&user=ew_MbD0AAAAJ,Matthew Corriere
/citations?hl=en&user=hJDspasAAAAJ,Michael D. Cohen
/citations?hl=en&user=LxqjDVQAAAAJ,David W. Gerdes
/citations?hl=en&user=GcLxtZAAAAAJ,Christopher Peterson
/citations?hl=en&user=eotJ3pwAAAAJ,Robert Axelrod
/citations?hl=en&user=79l6WlQAAAAJ,Anna Lok
/citations?hl=en&user=mWGwXc0AAAAJ,Shinobu Kitayama
/citations?hl=en&user=SRUYLREAAAAJ,Franco Nori
/citations?hl=en&user=A8ynQbQAAAAJ,David G Beer
/citations?hl=en&user=rfc7NW0AAAAJ,David G. Beer
/citations?hl=en&user=WIRQRN8AAAAJ,Kent C Berridge
/citations?hl=en&user=gj7OdjcAAAAJ,Roderick Little
/citations?hl=en&user=Br2j5IMAAAAJ,Cristen J. Willer
/citations?hl=en&user=P0XTYBEAAAAJ,Nicole B. Ellison
/citations?hl=en&user=zS-bU6EAAAAJ,Andrew Eppig
/citations?hl=en&user=mpceHBAAAAAJ,Stanley J. Watson
/citations?hl=en&user=0KMz6P0AAAAJ,Huda Akil
/citations?hl=en&user=0ubtgRQAAAAJ,Nicholas A. Kotov
/citations?hl=en&user=u7zkNcYAAAAJ,Shawn McKee
/citations?hl=en&user=qdho5P0AAAAJ,Deborah Loewenberg Ball
/citations?hl=en&user=5uCjlbgAAAAJ,Deborah Loewenberg Ball
/citations?hl=en&user=TEBGHYAAAAAJ,John Jonides
/citations?hl=en&user=TH0g3tAAAAAJ,Jon D. Miller
/citations?hl=en&user=8e0jy0IAAAAJ,Hyun Min Kang
/citations?hl=en&user=17tQJxwAAAAJ,George A. Kaplan
/citations?hl=en&user=fRjSWV8AAAAJ,Timothy McKay
/citations?hl=en&user=eLAM5ikAAAAJ,Thomas J. Giordano
/citations?hl=en&user=xswWwaMAAAAJ,Patrick D. Schloss
/citations?hl=en&user=wGVjaV4AAAAJ,Lloyd D. Johnston
/citations?hl=en&user=icZPsdMAAAAJ,Daniel J. Inman
/citations?hl=en&user=MUWpNzcAAAAJ,Eric Bell
/citations?hl=en&user=dwHDUDsAAAAJ,Terry E. Robinson
/citations?hl=en&user=msI9uioAAAAJ,Jonathan Overpeck
/citations?hl=en&user=0GvpFGgAAAAJ,Laura J Scott
/citations?hl=en&user=m3fmrjYAAAAJ,Randy Seeley
/citations?hl=en&user=5HLoduMAAAAJ,Jerald Bachman
/citations?hl=en&user=lo3ms0UAAAAJ,hom-lay Wang
/citations?hl=en&user=NAahXHcAAAAJ,Eva L. Feldman
/citations?hl=en&user=fmSHtE8AAAAJ,Honglak Lee
/citations?hl=en&user=dPiinPkAAAAJ,Henry M Wellman
/citations?hl=en&user=vY7MdLYAAAAJ,Kang G. Shin
/citations?hl=en&user=XM-kZQwAAAAJ,Ctirad Uher
/citations?hl=en&user=GrfRTDEAAAAJ,Robert Koeppe
/citations?hl=en&user=EOCvSkcAAAAJ,Roger Albin
/citations?hl=en&user=VEU-OKEAAAAJ,Dan Clauw
/citations?hl=en&user=atJIzi0AAAAJ,Ronald Larson
/citations?hl=en&user=B9HaG4kAAAAJ,Marc Zimmerman
/citations?hl=en&user=qVaiY_4AAAAJ,John Schulenberg
/citations?hl=en&user=W2HdR7wAAAAJ,Peter X Ma
/citations?hl=en&user=t-0R7QsAAAAJ,Victor Li
